2025-12-17 14:55:52 | DEBUG    | chroma | 搜索相似文档: query=蓝桥杯 Python Web开发 数据库 算法竞赛..., n_results=10
2025-12-17 14:55:52 | DEBUG    | chroma | 搜索相似文档: query=JavaScript Javaspring mybatis MySQL python..., n_results=10
2025-12-17 14:59:27 | DEBUG    | chroma | 搜索相似文档: query=蓝桥杯 Python Web开发 数据库 算法竞赛..., n_results=10
2025-12-17 14:59:27 | DEBUG    | chroma | 搜索相似文档: query=JavaScript Javaspring mybatis MySQL python..., n_results=10
2025-12-17 15:04:36 | DEBUG    | chroma | 搜索相似文档: query=蓝桥杯 Python Web开发 数据库 算法竞赛..., n_results=10
2025-12-17 15:04:36 | DEBUG    | chroma | 搜索相似文档: query=JavaScript Javaspring mybatis MySQL python..., n_results=10
2025-12-17 15:04:52 | DEBUG    | chroma | 搜索相似文档: query=蓝桥杯 Python Web开发 数据库 算法竞赛..., n_results=10
2025-12-17 15:04:52 | DEBUG    | chroma | 搜索相似文档: query=JavaScript Javaspring mybatis MySQL python..., n_results=10
2025-12-17 15:06:06 | DEBUG    | chroma | 搜索相似文档: query=蓝桥杯 Python Web开发 数据库 算法竞赛..., n_results=10
2025-12-17 15:06:06 | DEBUG    | chroma | 搜索相似文档: query=JavaScript Javaspring mybatis MySQL python..., n_results=10
2025-12-17 15:08:08 | DEBUG    | chroma | 搜索相似文档: query=蓝桥杯 Python Web开发 数据库 算法竞赛..., n_results=10
2025-12-17 15:08:08 | DEBUG    | chroma | 搜索相似文档: query=JavaScript Javaspring mybatis MySQL python..., n_results=10
2025-12-17 15:10:27 | DEBUG    | chroma | 搜索相似文档: query=蓝桥杯 Python Web开发 数据库 算法竞赛..., n_results=10
2025-12-17 15:10:27 | DEBUG    | chroma | 搜索相似文档: query=JavaScript Javaspring mybatis MySQL python..., n_results=10
2025-12-17 15:10:49 | DEBUG    | chroma | 搜索相似文档: query=蓝桥杯 Python Web开发 数据库 算法竞赛..., n_results=10
2025-12-17 15:10:49 | DEBUG    | chroma | 搜索相似文档: query=JavaScript Javaspring mybatis MySQL python..., n_results=10
2025-12-17 15:11:07 | DEBUG    | chroma | 搜索相似文档: query=蓝桥杯 Python Web开发 数据库 算法竞赛..., n_results=10
2025-12-17 15:11:07 | DEBUG    | chroma | 搜索相似文档: query=JavaScript Javaspring mybatis MySQL python..., n_results=10
2025-12-17 15:11:51 | DEBUG    | chroma | 搜索相似文档: query=蓝桥杯 Python Web开发 数据库 算法竞赛..., n_results=10
2025-12-17 15:11:51 | DEBUG    | chroma | 搜索相似文档: query=JavaScript Javaspring mybatis MySQL python..., n_results=10
2025-12-17 15:16:15 | DEBUG    | chroma | 搜索相似文档: query=蓝桥杯 Python Web开发 数据库 算法竞赛..., n_results=10
2025-12-17 15:16:15 | DEBUG    | chroma | 搜索相似文档: query=JavaScript Javaspring mybatis MySQL python..., n_results=10
2025-12-17 15:17:15 | DEBUG    | chroma | 搜索相似文档: query=蓝桥杯 Python Web开发 数据库 算法竞赛..., n_results=10
2025-12-17 15:17:15 | DEBUG    | chroma | 搜索相似文档: query=JavaScript Javaspring mybatis MySQL python..., n_results=10
2025-12-17 15:23:19 | DEBUG    | chroma | 搜索相似文档: query=蓝桥杯 Python Web开发 数据库 算法竞赛..., n_results=10
2025-12-17 15:23:19 | DEBUG    | chroma | 搜索相似文档: query=JavaScript Javaspring mybatis MySQL python..., n_results=10
2025-12-17 17:28:51 | DEBUG    | chroma | 搜索相似文档: query=蓝桥杯..., n_results=1
2025-12-17 17:29:01 | DEBUG    | chroma | 搜索相似文档: query=蓝桥杯..., n_results=1
2025-12-17 17:29:08 | DEBUG    | chroma | 搜索相似文档: query=蓝桥杯..., n_results=1
2025-12-17 17:29:23 | DEBUG    | chroma | 搜索相似文档: query=蓝桥软件赛..., n_results=1
2025-12-17 17:29:24 | DEBUG    | reranker_service |   结果 1: idx=0, score=0.9898
2025-12-17 17:29:24 | DEBUG    | reranker_service |   结果 2: idx=1, score=0.0113
2025-12-17 17:29:24 | DEBUG    | reranker_service |   结果 3: idx=2, score=0.0098
2025-12-18 14:07:49 | DEBUG    | chroma | 搜索相似文档: query=蓝桥软件赛..., n_results=1
